id,category,manufacturer,model,section,alarm_code,plc_input,symptom,causes,fix,keywords,machine_area

tryton112_sq5,Barloader,LNS,Tryton 112,Sensors,SQ5,"Bar position sensor","Bar not detected","SQ5 misaligned; Sensor dirty; Wiring loose","Inspect SQ5 sensor alignment and wiring","bar feeder sq5 sensor bar detect",Barloader

tryton112_interface,Barloader,LNS,Tryton 112,Interface,Fanuc Interface,"Cycle Start","Barloader not starting with machine","Interface signal missing; Parameter mismatch","Check Fanuc interface wiring and machine start signal","bar feeder interface cycle start signal",Barloader
lns_gt326e_al01,Barloader,LNS,GT 326-E,Emergency Stop Circuit,AL01,X10,Emergency stop line open,"Emergency stop pressed; Lathe E-stop circuit open; Circuit breaker QM1 tripped; Contactor K1 not energized","Release HMI emergency stop; Clear lathe E-stop circuit; Reset breaker QM1; Verify 24VDC at K1 A1/A2; Press STOP on HMI to clear alarm","gt326e emergency stop line open estop k1 qm1 x10",Safety Circuit
lns_gt326e_al02,Barloader,LNS,GT 326-E,Safety Cover,AL02,SQ11,Main access cover open,"Access cover open; Obstruction preventing cover closure; Bent cover; Safety switch SQ11 defective or misadjusted","Close main access cover; Remove obstruction; Adjust or replace SQ11; Press STOP on HMI to clear alarm","gt326e access cover sq11 safety switch",Safety
lns_gt326e_al03,Barloader,LNS,GT 326-E,Positioning,AL03,SQ10,Bar feeder retracted or not in working position,"Bar feeder not positioned correctly; Safety switches SQ10/SQ10a misadjusted or defective","Move bar feeder to working position; Check or adjust switches SQ10/SQ10a; Press STOP on remote control to reset","gt326e bar feeder position sq10",Position
lns_gt326e_al04,Barloader,LNS,GT 326-E,Lubrication,AL04,SP2,Oil pressure failure,"Oil pump not supplying oil; Pressure switch SP2 faulty","Verify oil pump operation; Replace or adjust SP2; Press STOP on remote control to clear alarm","gt326e oil pressure sp2 lubrication pump",Lubrication
lns_gt326e_al05,Barloader,LNS,GT 326-E,Air System,AL05,SP1,Air pressure failure,"Air pressure below 3 bar; Pressure switch SP1 not detecting pressure; Faulty SP1 switch","Adjust air pressure between 3-6 bar; Adjust or replace SP1; Press STOP on HMI to clear alarm","gt326e air pressure sp1 pneumatic",Pneumatics
lns_gt326e_al06,Barloader,LNS,GT 326-E,Guiding Channel,AL06,SQ3/SQ4,Guiding channel switch failure,"Guiding channel switches SQ3 and SQ4 both active or both inactive; Switch misalignment","Check switches SQ3 and SQ4; Adjust or replace switches; Press STOP on HMI to clear alarm","gt326e guiding channel sq3 sq4 switch",Guiding Channel
lns_gt326e_al07,Barloader,LNS,GT 326-E,Guiding Channel,AL07,SQ3,Guiding channel open failure,"Channel obstructed; SQ3 switch defective or misadjusted; Low air pressure; Cylinder opening too slow","Remove obstruction from channel; Adjust or replace SQ3; Verify air pressure; Check cylinder operation; Press STOP on HMI","gt326e guiding channel open sq3 cylinder air",Guiding Channel
